sex,Length,Diameter,height,whole-weight,shucked-weight,viscera-weight,shell-weight,rings
I,106,85,26,156.2,78.1,40.1,43,9
F,127,98,31,229,95.5,60.7,63.1,9
F,100,88,31,148.4,40.5,40.1,42.3,14
F,107,81,25,185.4,52,28.5,69,16
F,122,97,34,220.1,102.5,45.8,61,11
M,101,80,30,155,68.9,31.4,37,7
F,93,70,27,125.3,51.8,28.9,35,8
M,134,100,38,303.8,123.2,77.6,83,10
I,32,22,5,3.9,1.5,1,1.2,4
I,79,58,19,60,31.6,13.6,15.6,7
F,129,105,38,292.7,132.3,68.7,87,19
M,105,86,33,172.9,75.2,38.9,50.3,16
I,98,74,22,107.6,54.2,20.7,27.8,8
M,71,53,18,33.6,10,8.2,12.6,8
M,142,111,39,389.7,189.1,75.3,99,12
F,124,87,31,202.4,95.4,47.2,55,8
I,113,88,35,174.7,82.8,42,42,11
M,131,104,34,228.9,106,44.6,69.6,9
I,101,76,27,107.7,52.9,19,33,9
I,39,27,8,6.5,2.7,1,1.9,4
M,118,95,32,189.1,76.3,36.8,54,19
I,73,54,21,43.1,18.3,9.5,12.6,6
F,97,78,20,111.3,44.3,23.1,37,9
F,103,85,28,153.2,60.8,34.5,51,14
F,127,99,35,242.2,141.4,54.5,64.6,9
I,108,84,28,125.5,50.1,23.5,47,9
I,90,66,20,82.2,38.9,20,19.6,6
F,107,81,29,136.9,54.5,34.2,41,10
F,122,94,32,203.4,85.2,45.1,64,12
I,110,90,28,150.6,68.9,26.5,48,8
F,131,106,38,285.6,98.6,63.6,113,18
I,75,58,28,60,28,12.5,16.5,8
I,104,81,28,135.3,57.3,29.2,41,15
M,117,92,33,222.7,116.5,46.9,54.8,10
I,89,66,20,87.4,32.6,15.1,34,13
F,104,81,23,155.2,64,36.9,44,8
I,69,57,20,44.5,17.3,11.6,15,8
I,64,48,15,34.7,15.2,7.1,10,7
I,69,51,19,38.9,18.5,7.4,11,6
M,39,29,10,6.4,2,1.6,2.4,4
F,115,96,33,215.6,102.2,41.9,61.2,9
I,92,70,23,83.1,36,19.6,23.5,7
F,122,94,39,254.7,93.8,66.3,79.6,12
M,127,102,37,261.6,108.8,63.6,75.4,8
F,100,76,31,131,48.1,28.6,41,17
F,106,83,23,118.3,46.6,31.7,36,11
F,113,90,32,159,72.1,31.1,46,12
F,99,77,26,138.1,62.5,35.8,35,10
M,131,97,39,324,125.5,71.6,97,17
F,126,98,34,243.1,92.5,40.9,62.1,10
F,110,90,29,148.2,59,28.7,53.3,10
M,143,110,35,365,187.6,76.1,88,11
I,78,60,19,65.3,33.3,11.5,17.8,7
F,110,86,28,168,75,43.6,38.9,8
F,119,99,47,273.2,101.3,43.8,104,13
M,125,91,34,216.4,99.1,46.9,63,9
F,98,76,25,109.8,49,21.5,34.8,10
M,132,99,39,325.5,118.8,71.9,97,10
F,130,101,33,271.4,114.5,56.2,86,11
F,121,93,31,220,109.4,53.3,51.7,10
I,85,76,21,65.3,25.7,15.7,20,10
M,123,99,31,257.3,87,58.6,64.9,11
M,79,56,16,53.2,19.9,13.2,18,12
F,134,104,30,281.2,103.8,69.6,74,13
F,133,105,42,328.8,163.6,67.9,85.5,10
I,87,65,24,79.9,36.3,12.2,22.5,8
M,99,80,31,161.7,46.9,23.1,70,6
F,141,108,41,351.4,165.3,83.4,92.2,9
F,99,82,25,151.1,67.1,25.8,42.8,9
F,115,92,29,198.9,93.2,45.8,53,7
I,102,80,25,118.7,47.8,26,40.8,8
I,104,79,27,126.6,59.7,25.9,35,9
M,92,69,22,91.9,47,17.7,23.2,7
F,117,92,30,200.7,100.6,42.1,50.3,11
I,92,72,21,93.2,44.5,19.8,22,7
I,50,37,13,13.7,5.9,2.8,4.5,5
M,129,97,43,302.8,109.2,52.3,127,16
M,109,85,27,168.9,74.6,42,47,10
F,124,96,33,208.6,96.7,44.2,62,10
F,125,105,39,270.4,90.1,48.9,106,13
I,96,74,25,94.8,35.8,20.7,35,9
M,125,104,35,282.1,138.2,64.4,69.3,10
M,133,101,32,257.8,122.9,50.6,73.3,11
I,103,79,25,132.7,64,28,34,8
F,124,100,30,258.6,119.2,62.7,70.8,10
I,102,91,27,137.1,57.5,30.8,40.7,9
M,101,77,22,131,63.7,30,37,9
M,85,65,19,75.7,34.1,16,20,7
I,39,30,9,7.5,3.6,1.2,2.2,3
M,107,86,31,156.9,65.7,33.8,49,10
M,104,80,24,116,46.8,26.3,37,8
I,93,69,22,78.6,36.5,14.7,24,8
I,61,44,14,28.2,12.4,6.2,7.4,5
I,106,83,29,188.8,76.9,37,53,21
I,97,74,28,101.3,48.5,17.6,29.3,8
M,138,105,40,356.5,183.3,66.5,92.2,12
F,86,68,22,76.4,30.8,19.1,21.8,8
M,105,80,28,146.5,66.8,31.5,34,11
I,96,71,23,115.7,50,21.2,36.8,8
M,106,81,25,130.3,54.3,32.1,37.2,7
I,56,44,16,26.3,13.2,4.8,6,5
I,133,100,34,259.5,120.7,58.2,71.9,9
F,127,95,30,236.9,106.6,61.4,58.2,10
F,116,87,28,190.6,95,43.3,41.9,9
F,151,115,40,414.6,202.7,93.1,96,11
I,107,90,27,145.6,56.9,36.9,53,9
F,140,105,38,329.3,170.9,61.4,79.9,9
M,116,91,30,202.4,99.7,42.3,56.7,10
F,130,99,31,267.4,123,63.9,67,9
F,107,80,30,160.9,66.9,42.5,42,13
F,119,91,31,212.1,102.7,43.3,60,12
M,77,62,20,56.9,21.3,15,20,11
F,118,93,30,199.4,78.4,49.2,68,12
I,65,48,14,30.4,11.3,6.1,10.8,8
M,117,91,29,190.6,78.9,53.7,51.6,10
